NL 174:558:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Lange, Eduard~P:Lange, Eduard (Vetter Machs):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::20.04.1904::::Liberec~50.764444°, 15.046944°:3 S. hs.:::::C012::0
NL 174:579:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Mach, Marie~ P:Mach, Marie:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::13.07.1895::::Holeov~49.332778°, 17.578333°:2 S. hs.::::Marie Mach ist die Schwester von Ernst Mach:C012::1998
NL 174:580:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Mach, Marie~ P:Mach, Marie:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::08.08.1895::::Brno~49.195278°, 16.608333°:2 S. hs.::::Marie Mach ist die Schwester von Ernst Mach:C012::1998
NL 174:581:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Mach, Marie~ P:Mach, Marie:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::07.11.1896::::Holeov~49.332778°, 17.578333°:3 S. hs.::::Marie Mach ist die Schwester von Ernst Mach:C012::1998
NL 174:582:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Mach, Marie~ P:Mach, Marie:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::08.10.1897::::Holeov~49.332778°, 17.578333°:2 S. hs.::::Marie Mach ist die Schwester von Ernst Mach:C012::1998
NL 174:583:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Mach, Marie~ P:Mach, Marie:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::04.11.1897::::o.O.:4 S. hs.::::Marie Mach ist die Schwester von Ernst Mach:C012::1998
NL 174:584:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Mach, Marie~ P:Mach, Marie:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::04.04.1903::::Holeov~49.332778°, 17.578333°:4 S. hs.::::Marie Mach ist die Schwester von Ernst Mach:C012::1998
NL 174:585:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Mach, Marie~ P:Mach, Marie:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::11.01.1912::::o.O.:6 S. hs.:::Zeitungsausschnitt:Marie Mach ist die Schwester von Ernst Mach:C012::1998
NL 174:586:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Mach, Marie~ P:Mach, Marie:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief::o.D.:::::o.O.:3 S. hs.::::Marie Mach ist die Schwester von Ernst Mach:C012::1998
NL 174:587:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Mach, Marie~ P:Mach, Marie:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief::o.D.:::::o.O.:4 S. hs.::::Marie Mach ist die Schwester von Ernst Mach:C012::1998
NL 174:588:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Mach, Marie~ P; N.N.:Mach, Marie; N.N.:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief::o.D.:::::o.O.:9 S. hs.::::Marie Mach ist die Schwester von Ernst Mach:C012::1998
NL 174:589:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Mach, Marie~ P:Mach, Marie:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief::o.D.:::::o.O.:5 S. hs.::::Marie Mach ist die Schwester von Ernst Mach:C012::1998
NL 174:590:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Mach, Marie~ P:Mach, Marie:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief::o.D.:::::o.O.:6 S. hs.::::Marie Mach ist die Schwester von Ernst Mach:C012::1998
NL 174:591:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Mach, Marie~ P:Mach, Marie:::Mach, Ernst~118575767; Mach, Louise~P:Mach, Ernst; Mach, Louise:118575767::Brief::o.D.:::::o.O.:3 S. hs.::::Marie Mach ist die Schwester von Ernst Mach:C012::1998
NL 174:592:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Mach, Marie~ P:Mach, Marie:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief::o.D.:::::o.O.:3 S. hs.::::Marie Mach ist die Schwester von Ernst Mach:C012::1998
NL 174:593:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Mach, Marie~ P:Mach, Marie:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief::o.D.:::::o.O.:2 S. hs.::::Marie Mach ist die Schwester von Ernst Mach:C012::1998
NL 174:594:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Mach, Marie~ P:Mach, Marie:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief::o.D.:::::Stari Dvor~46.066675°, 15.135981°:2 S. hs.::::Marie Mach ist die Schwester von Ernst Mach:C012::1998
NL 174:595:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Mach, Marie~ P:Mach, Marie:::Mach, Louise~ P:Mach, Louise:::Brief:::18.05.1897::::o.O.:3 S. hs.::::Marie Mach ist die Schwester von Ernst Mach:C012::1998
NL 174:596:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Mach, Marie~ P:Mach, Marie:::Mach, Louise~ P:Mach, Louise:::Brief:::28.11.1897::::Holeov~49.332778°, 17.578333°:4 S. hs.::::Marie Mach ist die Schwester von Ernst Mach:C012::1998
NL 174:597:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Mach, Marie~ P :Mach, Marie :::Mach, Ludwig~118821830:Mach, Ludwig:118821830::Brief:::17.08.1901::::Prilep~49.3167°, 17.6167°:3 S. hs.::::Marie Mach ist die Schwester von Ernst Mach:C012::1998
NL 174:598:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Mach, Octavia~ P:Mach, Octavia:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief::o.D.:::::o.O.:2 S. hs.:::::C012::2000
NL 174:599:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Mach, Victor~137896131:Mach, Victor:137896131::Mach, Felix ~137896085:"Mach, Felix (""Sultl"")":137896085::Brief:::17.11.1912::::München~48.136944°, 11.575278°:1 S. ms.::::"Verfasser laut Briefkopf, Unterschrift: ""Ami""<NZ>Spitzname von Felix Mach war ""Sultl""":C012::2010
NL 174:600:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:N.N.:N.N.:::Mach, Marie~ P:Mach, Marie:::Brief:::21.05.1895::::o.O.:3 S. hs.::::Marie Mach ist die Schwester von Ernst Mach:C012::
NL 174:601:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Aall, Anathon~116000236:Aall, Anathon:116000236::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::14.08.1909:::::2 Bl. hs.:::::::2013
NL 174:602:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Aall, Anathon~116000236:Aall, Anathon:116000236::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::17.10.1909::::Oslo~59.91°, 10.75°:4 S. hs.:::::::2013
NL 174:603:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Aall, Anathon~116000236:Aall, Anathon:116000236::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::26.10.1909::::Oslo~59.91°, 10.75°:4 S. hs.:::::::2013
NL 174:604:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Aall, Anathon~116000236:Aall, Anathon:116000236::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::08.05.1910::::Oslo~59.91°, 10.75°:2 S. hs.:::::::2013
NL 174:605:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Abbe, Cleveland~116238720:Abbe, Cleveland:116238720::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::14.02.1893::Weather Bureau <Washington> s. Abbe, Cleveland::Washington~38.895°, -77.036667°:1 S. ms.:eng::::::1986
NL 174:606:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Adler, Friedrich~118647016:Adler, Friedrich:118647016::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::06.01.1904::::Zürich~47.379022°, 8.541001°:4 S. ms.::Blackmore/Hentschel 1985, S. 32-34:::::2030
NL 174:607:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Adler, Friedrich~118647016:Adler, Friedrich:118647016::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::13.07.1906::::München~48.136944°, 11.575278°:5 S. hs.:::::::2030
NL 174:608:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Adler, Friedrich~118647016:Adler, Friedrich:118647016::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::19.10.1906::::München~48.136944°, 11.575278°:2 S. hs.:::::::2030
NL 174:609:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Adler, Friedrich~118647016:Adler, Friedrich:118647016::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::10.11.1906::::Zürich~47.379022°, 8.541001°:2 S. hs.:::::::2030
NL 174:610:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Adler, Friedrich~118647016:Adler, Friedrich:118647016::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::12.11.1907::::Zürich~47.379022°, 8.541001°:2 S. hs.:::::::2030
NL 174:611:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Adler, Friedrich~118647016:Adler, Friedrich:118647016::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::23.07.1909::::Zürich~47.379022°, 8.541001°:4 S. hs.::Blackmore/Hentschel 1985, S. 57; Blackmore/Itagaki/Tanaka 2001, S. 45:::::2030
NL 174:612:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Adler, Friedrich~118647016:Adler, Friedrich:118647016::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::15.01.1910::::Zürich~47.379022°, 8.541001°:4 S. ms. mit hs. Anm.::Blackmore/Hentschel 1985, S. 68-70; Blackmore/Itagaki/Tanaka 2001, S. 46-48:::::2030
NL 174:613:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Adler, Friedrich~118647016:Adler, Friedrich:118647016::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::13.07.1913::::Wien~48.20833°, 16.373064°:2 S. ms.:::::::2030
NL 174:614:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Adler, Friedrich~118647016:Adler, Friedrich:118647016::Mach, Ernst~118575767:Mach, Ernst:118575767::Visitenkarte::o.D. (ca. 1905)::Deutsches Museum <München>~4075058-9:::o.O.:1 S. gedr.:::Lebenslauf, 1905, Abschriften von Zeugnissen und Besoldungsbescheiden (u.a. des Deutschen Museums München) Adlers, 17.11.1900-30.09.1905 (6 S. ms.)::::1111
NL 174:615:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Adler, Guido~118500694:Adler, Guido:118500694::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::26.11.1896::::Prag~50.083333°, 14.416667°:4 S. hs.:::::::2011
NL 174:616:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Ahlborn, Friedrich Christian Georg~ 116009756:Ahlborn, Friedrich:116009756::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::18.12.1901::::Hamburg~53.550556°, 9.993333°:4 S. hs.:::::::2007
NL 174:617:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Ahlborn, Friedrich Christian Georg~ 116009756:Ahlborn, Friedrich:116009756::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::18.12.1901::::Hamburg~53.550556°, 9.993333°:4 S. hs.:::::::2007
NL 174:618:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Ahlborn, Friedrich Christian Georg~ 116009756:Ahlborn, Friedrich:116009756::Mach, Ludwig~118821830:Mach, Ludwig:118821830::Brief:::14.11.1902::::Hamburg~53.550556°, 9.993333°:4 S. hs.::::"Entnommen: 4 Glasplattennegative, eingereiht in: NL 174/3819-3822. Mach übersandte Ahlborn offensichtlich verschiedene Glasplatten, die sich heute im Archiv des Deutschen Museums, NL 091 Ahlborn, befinden.":::2007
NL 174:619:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Ahrens, Heinrich~118644114:Ahrens, Heinrich:118644114::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::08.12.1865::::Leipzig~51.340333°, 12.37475°:3 S. hs.:::::::1944
NL 174:620:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Akademie der Wissenschaften <Wien>~35077-1:Akademie der Wissenschaften <Wien>::35077-1:Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::01.04.1892::::Wien~48.20833°, 16.373064°:1 S. hs.:::::::1922
NL 174:621:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Akademie der Wissenschaften <Wien>~35077-1:Akademie der Wissenschaften <Wien>::35077-1:Mach, Ernst~118575767:Mach, Ernst:118575767::Karte:::15.01.1907:::Hartel, Wilhelm Ritter von~ 119035030:Wien~48.20833°, 16.373064°:1 S. gedr.::::Todesanzeige Wilhelm Ritter von Hartel:::1937
NL 174:622:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Akademie der Wissenschaften <Wien>~35077-1:Akademie der Wissenschaften <Wien>::35077-1:Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::12.12.1910::::Wien~48.20833°, 16.373064°:1 S. ms. u. hs.:::::::1940
NL 174:623:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Kohl, Emil~117530875:Kohl, Emil:117530875::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::08.06.1911:Akademie der Wissenschaften <Wien>~35077-1:Akademie der Wissenschaften <Wien> s. a. Kohl, Emil::Wien~48.20833°, 16.373064°:1 S. hs.:::::::1994
NL 174:624:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Kohl, Emil~117530875:Kohl, Emil:117530875::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::15.01.1915::::Wien~48.20833°, 16.373064°:1 S. ms.:::::::1994
NL 174:625:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Alvan Clark & Sons <Cambridge>~K:Alvan Clark & Sons <Cambridge>:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::19.06.1891::::Cambridge~52.2°, 0.116667°:2 S. hs.:eng::::::1921
NL 174:626:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Anding, Ernst~116306858:Anding, Ernst:116306858::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::28.11.1905::::München~48.136944°, 11.575278°:4 S. hs.:::::::2015
NL 174:627:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Anschütz, Ottomar~11864954X:Anschütz, Ottomar:11864954X::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::29.08.1887::::Leszno~51.866667°, 16.566667°:3 S. hs.:::::::1977
NL 174:628:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Anschütz, Ottomar~11864954X:Anschütz, Ottomar:11864954X::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::05.09.1887::::Leszno~51.866667°, 16.566667°:2 S. hs.:::::::1977
NL 174:629:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Anschütz, Ottomar~11864954X:Anschütz, Ottomar:11864954X::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::12.09.1887::::Leszno~51.866667°, 16.566667°:1 S. hs.:::::::1977
NL 174:630:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Anschütz, Ottomar~11864954X:Anschütz, Ottomar:11864954X::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::30.04.1895::::Berlin~52.518611°, 13.408056°:2 S. hs.:::::::1977
NL 174:631:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Antolik, Karl~117661953:Antolik, Karl:117661953::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::15.04.1884::::Arad~46.183333°, 21.316667°:3 S. hs.:::2 Fotografien::::0
NL 174:632:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Antolik, Karl~117661953:Antolik, Karl:117661953::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::14.05.1884::::Arad~46.183333°, 21.316667°:3 S. hs.:::::::0
NL 174:633:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Antolik, Karl~117661953:Antolik, Karl:117661953::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::13.03.1894::::Pressburg~48.154722°, 17.145556°:2 S. hs.:::::::0
NL 174:634:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Archenhold, Friedrich Simon~116198095:Archenhold, Friedrich Simon:116198095::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::20.02.1908::::Berlin~52.518611°, 13.408056°:1 S. ms.:::::::2009
NL 174:635:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Auersperg, Karl Maria Alexander von und zu~135828651:Auersperg, Karl Maria Alexander von und zu:135828651::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::17.05.1901::::Rijeka~45.329703°, 14.432086°:2 S. hs.:::::::1997
NL 174:636:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Ascher, Karl~117765325; Jahnel, Franz~P; Loewy, Julius~125605579; Pollak, Leopold~P; Raubitschek, Else~P; Raubitschek, Erich~P; Sittig, Otto~P; Skramlik, Emilian Ritter von~101282648; Strauss, Wilhelm~P:Ascher, Karl; Jahnel, Franz; Loewy, Julius; Pollak, Leopold; Raubitschek, Else; Raubitschek, Erich; Sittig, Otto; Skramlik, Emilian Ritter von; Strauss, Wilhelm (Medizinische Fakultät der Deutschen Universität Prag):117765325::Mach, Ernst~118575767:Mach, Ernst:118575767::Telegramm::18.02.[1908]:18.02.1908:Medizinische Fakultät der Deutschen Universität <Prag>~4524249-5 :Medizinische Fakultät der Deutschen Universität <Prag> s. Strauss, Wilhelm::Prag~50.083333°, 14.416667°:1 S. gedr.:::::::2041
NL 174:637:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Ascher, Karl~117765325:Ascher, Karl:117765325::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::08.08.1913::::Straßburg~48.583611°, 7.748056°:2 S. hs.:::::::2041
NL 174:638:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Auer von Welsbach, Aloys~116376929:Auer von Welsbach, Aloys:116376929::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::29.02.1860::::Wien~48.20833°, 16.373064°:1 S. hs.:::::::1939
NL 174:639:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Avenarius, Maria~116389273:Avenarius, Maria:116389273::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::23.06.1900::::Zürich~47.379022°, 8.541001°:3 S. hs.:::::::0
NL 174:640:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Avenarius, Maria~116389273:Avenarius, Maria:116389273::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::19.10.1904::::Heidelberg~49.412222°, 8.71°:4 S. hs.:::::::0
NL 174:641:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Avenarius, Richard~116389311:Avenarius, Richard:116389311::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::07.05.1882::::Zürich-Hottingen~47.36812°, 8.5604°:2 S. hs.::Thiele 1978, S. 71; Thiele 1968a, S. 286f.:::::1966
NL 174:642:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Avenarius, Richard~116389311:Avenarius, Richard:116389311::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::10.06.1882::::Zürich-Hottingen~47.36812°, 8.5604°:3 S. hs.::Thiele 1978, S. 72; Thiele 1968a, S. 287:::::1966
NL 174:643:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Avenarius, Richard~116389311:Avenarius, Richard:116389311::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::16.06.1882::::Zürich-Hottingen~47.36812°, 8.5604°:2 S. hs.::Thiele 1978, S. 72f.; Thiele 1968a, S. 288:::::1966
NL 174:644:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Avenarius, Richard~116389311:Avenarius, Richard:116389311::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::18.07.1883::::Zürich-Hottingen~47.36812°, 8.5604°:1 S. hs.:::::::1966
NL 174:645:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Avenarius, Richard~116389311:Avenarius, Richard:116389311::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::22.02.1895::::Zürich-Hottingen~47.36812°, 8.5604°:2 S. hs.::Thiele 1978, S. 73f.; Thiele 1968a, S. 288f.:::::1966
NL 174:646:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Avenarius, Richard~116389311:Avenarius, Richard:116389311::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::28.06.1895::::Zürich-Hottingen~47.36812°, 8.5604°:3 S. hs.::Blackmore/Hentschel 1985, S. 24; Thiele 1978, S. 74; Thiele 1968a, S. 289f.:::::1966
NL 174:647:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Avenarius, Richard~116389311:Avenarius, Richard:116389311::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::12.08.1895::::Zürich~47.379022°, 8.541001°:2 S. hs.::Thiele 1978, S. 75; Thiele 1968a, S. 290:::::1966
NL 174:648:5. Korrespondenz:5.2. Allgemeine Korrespondenz:Avenarius, Richard~116389311:Avenarius, Richard:116389311::Mach, Ernst~118575767:Mach, Ernst:118575767::Visitenkarte::o.D.:::::o.O.:1 S. gedr. u. hs.:::::::1966
